"USW00025333","SITKA AIRPORT, AK US","2018-10-05","7.16"," 0536","0.78",,,"57","49","  110","  110","21.0","25.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-06","3.13"," 1243","0.08",,,"52","48","  200","  200","12.1","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-07","3.13"," 0031","0.25",,,"53","49","  110","  120","10.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-08","8.05"," 0754","0.23",,,"56","42","  340","  330","23.9","29.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-09","2.68"," 0459","0.00",,,"54","40","   80","   80","8.1","8.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-10","2.91"," 1926","1.51",,,"53","45","  130","  120","12.1","14.1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-11","5.14"," 1657","0.40",,,"52","46","  360","   10","16.1","21.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-12","5.14"," 0040","0.02",,,"54","43","  290","  290","13.0","19.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-13","10.51"," 1553","0.40",,,"56","47","  170","  160","21.9","30.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-14","18.79"," 2055","0.38",,,"57","54","  170","  170","30.0","40.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-15","13.42"," 0033","0.02",,,"60","53","  170","  170","25.1","32.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-16","11.18"," 0755","1.50",,,"59","51","  130","  100","21.0","28.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-17","5.82"," 1216","0.16",,,"55","49","  200","  190","10.1","13.0",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-18","12.08"," 2041","0.08",,,"55","48","  120","  120","35.1","40.9",,,,,
"USW00025333","SITKA AIRPORT, AK US","2018-10-19","18.34"," 0436","0.87",,,"56","49","  100","  110","35.1","42.9",,,,,
